Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
GUY,GUYANA,35.2,36.3,37.3,38.3,39.3,40.2,41.0,41.7,42.6,43.4,44.3,45.3,46.4,47.6,48.8,50.0,51.3,52.5,53.8,55.3,56.8,58.4,60.0
HND,HONDURAS,22.9,23.7,24.7,25.7,26.8,28.0,29.2,30.5,31.9,33.3,34.8,36.3,38.0,39.6,41.4,43.2,45.1,47.0,49.1,51.3,53.7,56.2,58.9
HRV,CROATIA (local name: Hrvatska),4.7,4.9,5.2,5.5,5.9,6.2,6.5,6.8,7.1,7.4,7.7,8.0,8.3,8.6,8.9,9.3,9.6,10.0,10.4,10.9,11.4,12.1,12.9
HTI,HAITI,75.6,77.6,175.1,81.7,83.8,85.8,88.1,90.5,93.1,95.8,98.6,101.7,105.0,108.5,112.1,116.0,119.9,123.9,127.8,131.9,136.0,139.9,144.0
HUN,HUNGARY,6.2,6.4,6.5,6.8,7.2,7.6,7.9,8.3,8.7,9.2,9.8,10.5,11.3,11.9,12.3,12.7,13.1,13.7,14.7,16.0,17.3,18.3,19.0
IDN,INDONESIA,31.0,32.3,33.6,35.1,36.6,38.2,39.9,41.7,43.6,45.6,47.7,50.0,52.4,54.9,57.6,60.5,63.4,66.5,69.8,73.1,76.6,80.2,83.8
IND,INDIA,56.3,58.6,61.2,63.8,66.5,69.3,72.1,75.1,78.2,81.3,84.7,88.1,91.5,95.0,98.5,102.0,105.5,108.8,112.1,115.4,118.7,122.1,125.6
IRL,IRELAND,4.0,4.1,4.2,4.3,4.5,4.6,4.9,5.2,5.6,6.1,6.6,6.9,7.2,7.3,7.4,7.3,7.3,7.2,7.3,7.6,8.0,8.6,9.2
IRN,IRAN (ISLAMIC REPUBLIC OF),17.6,18.4,19.2,20.3,21.5,22.8,24.2,25.7,27.3,29.0,30.8,32.6,34.5,36.5,38.5,40.6,42.6,44.7,46.7,48.8,51.1,53.6,56.4
IRQ,IRAQ,34.4,35.3,36.2,37.1,38.0,38.8,39.8,40.6,41.4,42.3,43.0,43.9,44.8,45.6,46.5,47.3,48.1,48.9,49.7,50.5,51.3,52.2,53.3
ISL,ICELAND,2.3,2.4,2.5,2.6,2.7,2.8,3.0,3.1,3.3,3.5,3.6,3.8,4.0,4.3,4.5,4.7,5.0,5.2,5.4,5.7,5.9,6.2,6.4
ISR,ISRAEL,4.2,4.4,4.5,4.7,4.9,5.1,5.3,5.6,5.8,6.1,6.4,6.6,6.9,7.2,7.5,7.8,8.2,8.7,9.2,9.9,10.5,11.1,11.6
ITA,ITALY,3.8,3.9,4.0,4.0,4.1,4.2,4.3,4.4,4.5,4.7,5.0,5.3,5.5,5.9,6.2,6.6,7.0,7.5,8.0,8.5,8.9,9.3,9.7
JAM,JAMAICA,16.8,17.3,17.8,18.4,18.9,19.5,20.1,20.6,21.2,21.7,22.3,22.8,23.4,24.0,24.5,25.1,25.7,26.4,27.0,27.8,28.5,29.2,30.0
JOR,JORDAN,19.1,19.7,20.3,20.9,21.6,22.3,23.0,23.7,24.5,25.3,26.1,26.9,27.7,28.5,29.3,30.1,30.9,31.7,32.6,33.5,34.5,35.6,36.7
JPN,JAPAN,3.0,3.4,3.2,3.3,3.4,3.5,3.6,3.7,3.9,4.0,4.1,4.3,4.5,4.7,5.0,5.2,5.5,5.7,5.9,6.0,6.1,6.2,6.3
KAZ,KAZAKHSTAN,18.7,20.2,21.9,23.8,25.9,28.2,30.6,33.0,35.3,37.6,39.8,42.0,44.2,46.5,48.7,50.8,52.5,53.7,54.2,54.3,54.1,53.9,54.1
KEN,KENYA,72.9,75.5,79.0,82.5,85.8,90.0,93.7,97.3,100.6,103.5,106.0,108.4,110.4,111.9,112.9,113.2,112.4,111.0,108.7,106.0,103.3,100.7,98.2
KGZ,KYRGYZSTAN,26.6,28.4,30.5,32.8,34.9,36.6,38.1,39.5,40.9,42.7,44.8,47.1,49.8,52.7,55.8,59.2,62.5,65.7,68.2,69.5,70.0,70.1,70.5
KHM,CAMBODIA,39.7,41.6,43.8,46.3,49.5,53.2,57.9,63.4,70.3,78.9,89.4,100.7,110.5,117.4,121.4,123.0,122.7,121.4,119.9,118.5,117.5,116.8,116.4
KIR,KIRIBATI,59.9,61.4,62.8,63.9,64.9,65.4,65.7,66.1,66.6,67.4,68.4,69.5,71.1,72.8,74.7,76.7,78.7,80.8,82.9,85.1,87.8,90.8,94.1
KNA,SAINT KITTS AND NEVIS,9.2,9.5,9.9,10.3,10.7,11.2,11.8,12.5,13.3,14.3,15.4,16.5,17.7,18.9,20.1,21.2,22.3,23.2,24.2,25.2,26.3,27.4,28.7
KOR,"KOREA, REPUBLIC OF",3.8,4.0,4.1,4.3,4.6,4.9,5.3,5.7,6.0,6.3,6.5,6.4,6.1,5.8,5.5,5.3,5.3,5.5,5.8,6.1,6.4,6.8,7.1
KWT,KUWAIT,11.0,11.1,11.2,11.3,11.4,11.4,11.5,11.7,11.9,12.2,12.4,12.7,12.9,13.3,13.6,13.9,14.1,14.2,14.3,14.4,14.8,15.4,16.3
LAO,LAOS ,71.8,74.9,78.4,82.1,86.1,90.0,94.2,98.4,102.7,107.1,111.4,115.7,120.0,124.4,128.7,133.0,137.2,141.7,146.2,150.5,154.7,158.9,162.9
LBN,LEBANON,9.3,9.7,10.2,10.7,11.3,12.0,12.9,13.9,15.2,16.4,17.5,18.7,19.9,21.1,22.3,23.5,24.7,25.9,27.1,28.4,29.8,31.1,32.7
LBR,LIBERIA,74.8,78.4,82.5,87.3,93.1,100.3,108.8,118.5,129.1,140.2,152.0,164.1,176.2,188.3,199.8,210.6,220.6,229.5,237.1,242.8,246.7,248.2,247.7
LBY,LIBYAN ARAB JAMAHIRIYA,15.4,16.1,16.9,17.8,18.9,20.3,21.7,23.1,24.4,25.5,26.5,27.5,28.4,29.4,30.5,31.6,32.7,34.0,35.5,37.1,38.9,40.8,43.0
LCA,SAINT LUCIA,17.5,17.9,18.2,18.5,18.7,18.7,18.7,18.4,18.2,18.0,17.9,17.9,17.9,18.1,18.3,18.7,19.1,19.6,20.1,20.6,21.1,21.7,22.3
LKA,SRI LANKA,9.6,10.0,10.3,10.7,11.2,11.8,12.6,13.3,14.0,14.8,15.5,16.4,17.2,18.0,18.8,19.5,20.0,20.5,20.9,21.2,21.3,21.3,21.4
LSO,LESOTHO,99.6,102.1,108.4,112.7,117.0,119.7,122.6,122.9,122.1,120.7,118.8,116.5,113.6,109.8,105.5,100.8,95.9,91.6,88.0,85.5,84.2,83.9,84.5
LTU,LITHUANIA,5.4,6.1,6.8,7.4,8.1,8.9,9.5,9.9,10.2,10.5,10.9,11.3,11.8,12.3,12.8,13.5,14.7,16.5,18.7,20.0,19.5,18.1,16.7
LUX,LUXEMBURG,2.2,2.3,2.5,2.6,2.8,3.0,3.3,3.5,3.8,4.0,4.3,4.5,4.8,5.1,5.4,5.7,6.0,6.4,6.8,7.3,7.8,8.2,8.7
LVA,LATVIA,8.7,9.0,9.4,9.8,10.4,11.0,11.7,12.5,13.3,14.3,15.2,16.0,17.0,18.5,20.2,21.7,22.8,23.3,23.7,23.6,23.0,21.7,20.4
MAR,MOROCCO,31.1,32.3,33.5,34.8,36.2,37.6,39.1,40.7,42.3,44.1,46.0,48.1,50.3,52.5,55.1,57.6,60.3,63.3,66.4,69.6,72.9,76.4,79.9
MCO,MONACO,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,5.0,5.2,5.3,5.5,5.8,6.0,6.2,6.5,6.8,7.1,7.4,7.8
MDA,"MOLDOVA, REPUBLIC OF",17.6,18.2,18.8,19.4,20.3,21.1,22.0,23.0,24.0,25.3,26.8,28.5,30.4,32.3,33.9,35.3,36.1,36.1,35.4,34.3,33.2,32.4,32.1
MDG,MADAGASCAR,58.2,60.6,62.9,65.8,69.0,72.5,76.7,81.4,86.3,91.6,97.0,102.6,108.5,114.5,120.6,126.4,131.8,136.6,141.0,145.1,149.2,153.7,158.5
MDV,MALDIVES,10.5,11.6,13.0,14.6,16.4,18.5,21.0,23.8,27.2,31.0,35.3,40.0,45.0,50.2,55.3,60.5,65.6,70.6,75.3,80.1,84.7,89.3,94.0
MEX,MEXICO,16.2,16.7,17.1,17.6,18.0,18.4,18.9,19.5,20.3,21.3,22.5,23.9,25.4,27.1,28.9,30.7,32.7,34.7,36.9,39.1,41.4,43.8,46.2
MHL,MARSHALL ISLANDS,37.9,38.5,38.8,39.0,39.4,39.6,39.8,40.2,40.6,40.9,41.2,41.3,41.4,41.5,41.5,41.5,41.8,42.2,43.0,44.2,45.6,47.2,49.0
MKD,MACEDONIA,7.4,8.6,9.9,10.9,11.7,12.4,13.1,13.7,14.0,14.2,14.4,15.1,16.0,17.0,18.1,19.6,21.8,24.5,27.7,31.1,33.7,35.2,36.7
MLI,MALI,128.0,132.7,137.8,143.4,149.5,156.2,164.2,173.1,183.0,193.3,203.1,212.4,220.4,227.2,232.1,235.7,238.1,239.9,241.5,243.4,245.8,249.0,253.3
MLT,MALTA,6.8,6.8,6.9,6.8,6.8,6.8,6.8,6.8,6.9,7.0,7.1,7.3,7.6,7.9,8.2,8.6,8.9,9.3,9.7,10.1,10.5,10.9,11.4
MMR,MYANMAR (Burma) ,52.3,54.2,56.0,58.0,60.1,62.2,64.4,66.6,68.9,71.3,73.8,76.3,78.8,81.6,84.1,86.6,89.3,92.0,94.9,97.9,100.8,103.6,106.4
MNE,MONTENEGRO,5.9,6.4,6.9,7.6,8.3,9.0,9.8,10.5,11.2,11.9,12.6,13.2,13.7,14.1,14.4,14.7,14.9,15.0,15.2,15.4,15.7,16.3,17.0
MNG,MONGOLIA,27.5,28.7,30.2,31.9,33.9,36.5,39.4,42.7,46.2,50.2,54.3,58.6,63.1,67.5,71.9,76.3,80.6,84.6,88.8,93.2,97.3,101.8,106.6
MOZ,MOZAMBIQUE,89.7,96.1,101.3,106.1,111.9,118.4,125.7,131.5,137.3,143.6,150.4,157.6,165.7,174.2,183.3,192.2,200.7,208.4,215.0,220.6,225.3,229.2,232.6
MRT,MAURITANIA,84.0,86.5,89.1,91.7,94.3,96.8,99.3,101.7,103.9,105.7,107.4,108.9,110.5,112.1,113.7,115.3,116.9,118.6,120.2,121.9,123.7,125.7,127.8
