Name,People,Product,Place,Format,Location (System),Frequency Updated,Frequency Used,Recieved From,Recieved From - Department,Used By Department 1,Used By Department 2,Used By Department 3,Used By Department 4,Linkable Data 1,Linkable Data 2,Linkable Data 3,Linkable Data 4,Unit
Market Launch Plan (which Showrooms),,1,,Document,Development Plan,Once,Once,Connnie Boeve,Project Management,Marketing,Design/Development,Product Management,Sales,Product,Customer,Customer Segment,Region,
Resource Plan - Full Time Engineers Required,,1,,Document,Development Plan,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,,,,
Narrative of Project Design/ Engineering Risks,,1,,Document,Development Plan,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,,,,
Narrative of Project Marketing Risks,,1,,Document,Development Plan,Once,Once,Connnie Boeve,Project Management,Marketing,Design/Development,Product Management,,Product,,,,
Narrative of Project Operations Risk,,1,,Document,Development Plan,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,,,,
Narrative of Project Financial Risks,,1,,Document,Development Plan,Once,Once,Connnie Boeve,Project Management,Research,Design/Development,Product Management,,Product,,,,
Total Sales by Product SKU ,,1,,,,,,,Sales,Sales,,,,Product,,,,
Total Sales by Data or Order,,1,,,,,,,Sales,Sales,,,,Product,Time,,,
Customization Requests by Product Category,1,1,,Document,Document,Monthly,Monthly,Mark McNally,,,,,,Product,Product Family,Customer,,Product Category
Part Number,,1,,Lotus Notes,Lotus Notes,Daily,Daily,Larry Larder,Product Testing,,,,,Product,,,,
Part Supplier,,1,,Lotus Notes,Lotus Notes,Daily,Daily,Larry Larder,Product Testing,,,,,Product,,,,
Narrative of Test Results / Observations,,1,,Lotus Notes,Lotus Notes,Daily,Daily,Larry Larder,Product Testing,,,,,Product,,,,
Narrative of Summary of Test Results,,1,,Lotus Notes,Lotus Notes,Daily,Daily,Larry Larder,Product Testing,,,,,Product,,,,
Tools Used for Test,,1,,Lotus Notes,Lotus Notes,Daily,Daily,Larry Larder,Product Testing,,,,,Product,,,,
Project Number,,1,,Lotus Notes,Lotus Notes,Daily,Daily,Larry Larder,Product Testing,,,,,Product,,,,
Project Name,,1,,Lotus Notes,Lotus Notes,Daily,Daily,Larry Larder,Product Testing,,,,,Product,,,,
